ID,简体中文,English,简体中文1
PATH_SET,路径设置,Path setting,路径设置
PATH_SD,存档路径,SavedMachines Path,存档路径
PATH_SK,皮肤文件夹路径,Skins Path,皮肤文件夹路径
PATH_WS,工坊文件夹路径,Steam workshop Path,工坊文件夹路径
CONV_SET,转换设置,Convert setting,转换设置
BS,蒙皮表面,BuildSurface,蒙皮表面
BS_R_Dis,步长(距离),Step length(distance),步长(距离)
BS_R_Deg,步长(弧度),Step length(degree),步长(弧度)
GL_A,玻璃透明度,Glass transparency,玻璃透明度
CYL_MIN,点钢阈值,Cylinder threshold,点钢阈值
CMD,启用控制台,cmd enable,启用控制台
TCP,状态,Status,状态
APPLY,应用,Apply,应用
START,开始,Start,开始
CANCEL,取消,Cancel,取消
SVNL,未选择存档,no savedata loaded,未选择存档
EXNC,未成功执行,excute failed,未成功执行
BTNF,缺失文件block table.csv,block table.csv not found,缺失文件block table.csv
BPNF,缺失文件BSGPath.txt,BSGPath.txt not found,缺失文件BSGPath.txt
SVNE,不存在,not exist,不存在
BSNF,缺失文件BSGsetting.txt,BSGsetting.txt not found,缺失文件BSGsetting.txt
FAIL,失败,failed,失败
SVEM,存档为空,empty savedata,存档为空
ARGV_ER,argv[]指针错误,argv[] error,argv[]指针错误
DONE,已完成,Done,已完成
r_FAIL,读取失败,fail to read,读取失败
vt_ER,纹理数据异常,UVmap error,纹理数据异常
vn_ER,法线数据异常,normal error,法线数据异常
SKIP,跳过,skip,跳过
